	Tissue Type	B cell marker
0	Intestine	CD19
1	Adipose tissue	IGHG3
2	Adipose tissue	IGKC
3	Airway	CD19
4	Airway	MS4A1
5	Bladder	CD79A
6	Bladder	MZB1
7	Blood	ADAM28
11	Blood	B2M
12	Blood	BANK1
13	Blood	BCL6
15	Blood	CCR7
18	Blood	CD14
19	Blood	CD19
20	Blood	CD19
21	Blood	CD19
22	Blood	CD1C
24	Blood	CD24
26	Blood	CD27
27	Blood	CD28
29	Blood	CD38
32	Blood	CD5
33	Blood	CD52
36	Blood	CD74
38	Blood	CD79A
39	Blood	CD79A
40	Blood	CD79B
41	Blood	CD86
42	Blood	CD99
43	Blood	CDC20
44	Blood	CDK1
46	Blood	CXCR4
47	Blood	FCER2
50	Blood	HLA-DRA
51	Blood	IGHA1
52	Blood	IGHA2
53	Blood	IGHD
54	Blood	IGHG1
55	Blood	IGHG2
56	Blood	IGHG4
57	Blood	IGHM
59	Blood	JUNB
60	Blood	MKI67
61	Blood	MME
62	Blood	MS4A1
63	Blood	MS4A1
64	Blood	NR4A1
65	Blood	PMAIP1
66	Blood	TCF4
67	Blood	TCL1A
68	Blood	VPREB3
69	Peripheral blood	AHNAK
70	Peripheral blood	AIM2
71	Peripheral blood	BACH2
72	Peripheral blood	BCL11A
73	Peripheral blood	BLNK
74	Peripheral blood	CALR
77	Peripheral blood	CD19
78	Peripheral blood	CD19
82	Peripheral blood	CD22
83	Peripheral blood	CD24
85	Peripheral blood	CD27
86	Peripheral blood	CD37
87	Peripheral blood	CD38
88	Peripheral blood	CD40
90	Peripheral blood	CD5
91	Peripheral blood	CD72
92	Peripheral blood	CD74
94	Peripheral blood	CD79A
95	Peripheral blood	CD79A
96	Peripheral blood	CD79B
97	Peripheral blood	CD79B
98	Peripheral blood	CD81
100	Peripheral blood	CR2
101	Peripheral blood	FCER2
102	Peripheral blood	FCGR2A
103	Peripheral blood	FCRL1
104	Peripheral blood	FCRLA
105	Peripheral blood	HLA-A
106	Peripheral blood	HLA-DPB1
108	Peripheral blood	IGHA1
109	Peripheral blood	IGHD
110	Peripheral blood	IGHG2
111	Peripheral blood	IGHM
113	Peripheral blood	IGKC
115	Peripheral blood	IL4R
116	Peripheral blood	ITGB1
117	Peripheral blood	JCHAIN
119	Peripheral blood	LILRA4
120	Peripheral blood	MS4A1
121	Peripheral blood	MS4A1
122	Peripheral blood	MZB1
123	Peripheral blood	NFKBIA
124	Peripheral blood	PAX5
125	Peripheral blood	PLPP5
126	Peripheral blood	SPIB
127	Peripheral blood	SWAP70
129	Peripheral blood	TCL1A
130	Peripheral blood	TNFRSF13C
131	Peripheral blood	TNFRSF17
132	Peripheral blood	XBP1
133	Peripheral blood	YBX3
134	Peripheral blood	ZAP70
137	Plasma	CD19
138	Plasma	IL10
139	Plasma	IL6
141	Serum	IGHG1
142	Venous blood	CD19
143	Venous blood	CD79A
144	Venous blood	CD79B
145	Blood vessel	CD19
146	Blood vessel	CD22
147	Blood vessel	CD79A
148	Blood vessel	CD79B
149	Blood vessel	FCER2
151	Bone	CD19
152	Bone marrow	BCL2
153	Bone marrow	BCL6
154	Bone marrow	BLK
155	Bone marrow	BLNK
157	Bone marrow	CD19
158	Bone marrow	CD19
164	Bone marrow	CD24
165	Bone marrow	CD24
166	Bone marrow	CD27
167	Bone marrow	CD27
168	Bone marrow	CD34
169	Bone marrow	CD38
170	Bone marrow	CD38
171	Bone marrow	CD40
174	Bone marrow	CD5
175	Bone marrow	CD52
176	Bone marrow	CD72
177	Bone marrow	CD79A
178	Bone marrow	CD79B
179	Bone marrow	EIF4EBP1
182	Bone marrow	HLA-DRA
183	Bone marrow	IGHA1
184	Bone marrow	IGHG1
185	Bone marrow	IGKC
188	Bone marrow	IL7R
189	Bone marrow	LMO2
191	Bone marrow	MS4A1
192	Bone marrow	MS4A1
193	Bone marrow	PAX5
194	Bone marrow	RAG1
195	Bone marrow	RAG2
196	Bone marrow	TNFRSF13C
198	Brain	CD19
200	Brain	CD79A
201	Brain	MS4A1
202	Brain	MS4A1
204	Cerebrospinal fluid	CD27
207	Cerebrospinal fluid	CD69
208	Cerebrospinal fluid	CXCR3
209	Breast	CD19
210	Breast	CD79A
211	Milk	CCDC50
212	Milk	SEL1L3
213	Milk	TCF4
214	Decidua	CD79A
215	Decidua	CD79B
216	Decidua	MS4A1
217	Endometrium	CD79A
