	Tissue Type	Nature killer cell marker
6	Adipose tissue	GNLY
7	Adipose tissue	NKG7
9	Airway	NCAM1
21	Blood	CD160
23	Blood	CD19
24	Blood	CD2
25	Blood	CD247
29	Blood	CD3D
30	Blood	CD3E
31	Blood	CD4
32	Blood	CD44
39	Blood	CD69
40	Blood	CD7
41	Blood	CD79B
43	Blood	CD8A
45	Blood	CD96
47	Blood	DUSP1
48	Blood	FCGR3A
49	Blood	FGFBP2
50	Blood	FOS
51	Blood	GNLY
52	Blood	GNLY
53	Blood	GZMB
54	Blood	GZMK
55	Blood	GZMK
58	Blood	IL2RB
59	Blood	IL7R
61	Blood	JUN
63	Blood	KLRB1
64	Blood	KLRC1
65	Blood	KLRC2
66	Blood	KLRF1
67	Blood	MKI67
68	Blood	NCAM1
69	Blood	NCR1
70	Blood	NCR1
73	Blood	NKG7
74	Blood	NKG7
78	Blood	SELL
79	Blood	SPON2
81	Blood	XCL1
82	Blood	XCL1
83	Blood	XCL2
84	Peripheral blood	CCL3
85	Peripheral blood	CCL4
86	Peripheral blood	CCL5
88	Peripheral blood	CD160
89	Peripheral blood	CD160
91	Peripheral blood	CD247
92	Peripheral blood	CD247
96	Peripheral blood	CD38
97	Peripheral blood	CD3D
98	Peripheral blood	CD3E
99	Peripheral blood	CD3G
103	Peripheral blood	CD52
108	Peripheral blood	CD69
109	Peripheral blood	CD7
111	Peripheral blood	CHST2
112	Peripheral blood	CX3CR1
113	Peripheral blood	CXCR6
114	Peripheral blood	CXXC5
115	Peripheral blood	FCER1G
116	Peripheral blood	FCGR3A
117	Peripheral blood	FCGR3A
118	Peripheral blood	FCGR3B
119	Peripheral blood	FOS
120	Peripheral blood	GNLY
121	Peripheral blood	GNLY
122	Peripheral blood	GZMB
123	Peripheral blood	GZMB
124	Peripheral blood	IL18RAP
125	Peripheral blood	IL2RB
126	Peripheral blood	KIR2DL1
128	Peripheral blood	KLRB1
129	Peripheral blood	KLRC1
130	Peripheral blood	KLRC1
131	Peripheral blood	KLRD1
132	Peripheral blood	KLRD1
133	Peripheral blood	KLRF1
134	Peripheral blood	KLRF1
135	Peripheral blood	KLRK1
137	Peripheral blood	NCAM1
138	Peripheral blood	NCAM1
142	Peripheral blood	NKG7
143	Peripheral blood	NKG7
146	Peripheral blood	PRSS23
147	Peripheral blood	SELL
148	Peripheral blood	SPON2
149	Peripheral blood	TRAC
150	Peripheral blood	TRDC
151	Peripheral blood	TRGC1
152	Peripheral blood	TRGC2
153	Peripheral blood	TYROBP
154	Peripheral blood	ZBTB16
155	Peripheral blood	ZFP36
158	Venous blood	KLRD1
159	Venous blood	NCR3
160	Venous blood	NKG7
166	Bone marrow	CASP5
170	Bone marrow	CD34
171	Bone marrow	CD38
173	Bone marrow	CX3CR1
174	Bone marrow	CXCR4
175	Bone marrow	FCGR3A
176	Bone marrow	GNLY
177	Bone marrow	GSG1
178	Bone marrow	IL18RAP
179	Bone marrow	KLRB1
180	Bone marrow	KLRD1
181	Bone marrow	KLRF1
182	Bone marrow	L1TD1
183	Bone marrow	NCAM1
184	Bone marrow	NCR1
185	Bone marrow	NKG7
186	Bone marrow	NMUR1
187	Bone marrow	PTGDR
188	Bone marrow	TBX21
189	Bone marrow	TP53TG5
190	Bone marrow	XCL1
192	Brain	DOCK2
193	Brain	GNLY
194	Brain	GNLY
195	Brain	GZMB
196	Brain	ICAM1
197	Brain	KIR2DL1
198	Brain	KIR2DL3
200	Brain	SAMD3
203	Breast	KIR2DL4
204	Breast	NKG7
205	Decidua	CD7
206	Decidua	CHST12
207	Decidua	CTSW
208	Decidua	GNLY
209	Decidua	GZMB
210	Decidua	IL2RB
211	Decidua	KIR2DL3
212	Decidua	KLRC1
213	Decidua	TESC
214	Decidua	TMIGD2
215	Decidua	TNFRSF18
216	Decidua	TRDC
217	Decidua	XCL1
218	Decidua	XCL2
219	Endometrium	GNLY
220	Endometrium	NKG7
221	Epidermis	KIR2DL4
222	Epidermis	KLRC1
223	Esophagus	NCAM1
224	Esophagus	NCR1
225	Choroid	CD2
226	Eye	GNLY
227	Eye	IL7R
229	Fetus	CD7
239	Intestine	EOMES
241	Intestine	NCAM1
246	Kidney	GNLY
248	Kidney	IFNG
250	Kidney	IL32
251	Kidney	KIR2DL3
252	Kidney	KLRB1
253	Kidney	KLRD1
257	Kidney	NCAM1
259	Kidney	NKG7
