	Tissue Type	Plasmacytoid dendritic cell marker
1	Blood	ABCA2
2	Blood	ABCA7
3	Blood	ABHD15
4	Blood	ABI2
6	Blood	ADA
7	Blood	ADAM19
8	Blood	AHCY
9	Blood	AHI1
10	Blood	AHNAK2
16	Blood	ALDH5A1
17	Blood	ALG2
18	Blood	ALOX5AP
19	Blood	ANKRD36
20	Blood	ANKRD36B
22	Blood	ANKS3
23	Blood	APP
24	Blood	ARHGEF4
25	Blood	ARL6IP6
26	Blood	ASPH
27	Blood	ATP13A2
28	Blood	ATP2A3
30	Blood	B4GALT1
33	Blood	BCL11A
35	Blood	BEX4
36	Blood	BLNK
37	Blood	BTAF1
55	Blood	CARD11
56	Blood	CCDC50
57	Blood	CCDC69
58	Blood	CCR2
59	Blood	CCS
64	Blood	CD164
70	Blood	CD2AP
73	Blood	CD4
74	Blood	CD40
78	Blood	CD80
79	Blood	CD83
81	Blood	CD86
82	Blood	CD99
83	Blood	CDCA7L
84	Blood	CEP135
85	Blood	CLCN5
86	Blood	CLEC4C
87	Blood	CLIC3
88	Blood	CLN8
89	Blood	CMKLR1
90	Blood	CNP
91	Blood	COBLL1
92	Blood	COL24A1
93	Blood	CREB3L2
94	Blood	CRIM1
95	Blood	CRYM
96	Blood	CRYM-AS1
97	Blood	CSF2RB
98	Blood	CSNK1E
99	Blood	CTNS
100	Blood	CTSB
101	Blood	CUX2
102	Blood	CXCR3
105	Blood	CYP46A1
106	Blood	CYSLTR1
107	Blood	CYTH4
108	Blood	DAAM1
109	Blood	DAB2
110	Blood	DAPK2
111	Blood	DCK
112	Blood	DCPS
113	Blood	DENND5B
114	Blood	DERL3
115	Blood	DHRS7
116	Blood	DHTKD1
119	Blood	DPPA4
122	Blood	DSN1
123	Blood	DUSP5
124	Blood	EFHC1
125	Blood	EGLN3
126	Blood	EIF4A3
127	Blood	EMB
128	Blood	EPHB1
129	Blood	ERN1
131	Blood	ERP29
133	Blood	FAM129C
134	Blood	FAM160A1
135	Blood	FCHSD2
136	Blood	FKBP2
139	Blood	FLNB
140	Blood	FMNL3
141	Blood	FOXRED2
142	Blood	FUT7
143	Blood	FZD3
144	Blood	GAB1
145	Blood	GALNT2
146	Blood	GAPT
147	Blood	GAS6
148	Blood	GGA2
149	Blood	GLCE
150	Blood	GNG7
151	Blood	GPM6B
153	Blood	GPR183
154	Blood	GZMB
155	Blood	HERPUD1
156	Blood	HIGD1A
158	Blood	HNRNPA1L2
159	Blood	HPS4
160	Blood	HSP90B1
161	Blood	IDH3A
162	Blood	IFI44L
163	Blood	IGFBP3
164	Blood	IGFLR1
167	Blood	IL3RA
168	Blood	IQGAP2
169	Blood	IRF2BP2
170	Blood	IRF4
171	Blood	IRF7
172	Blood	IRF8
173	Blood	ITGAE
174	Blood	ITM2C
175	Blood	ITPR1
176	Blood	ITPR2
177	Blood	KANK1
179	Blood	KIAA0226L
180	Blood	KIRREL3
181	Blood	KRR1
182	Blood	KRT5
183	Blood	LAIR1
184	Blood	LAMP5
185	Blood	LGMN
186	Blood	LILRA4
187	Blood	LILRB4
188	Blood	LIME1
189	Blood	LMAN1
200	Blood	LRP8
201	Blood	LRRC36
202	Blood	LTB
203	Blood	LY9
204	Blood	MAGED1
205	Blood	MAN2B1
206	Blood	MAP1A
207	Blood	MAP2K6
208	Blood	MAP4K4
209	Blood	MAPKAPK2
210	Blood	MCOLN2
211	Blood	MDFIC
212	Blood	MDN1
213	Blood	MEF2D
214	Blood	MFSD2A
215	Blood	MGAT4A
217	Blood	MIF4GD
218	Blood	MILR1
219	Blood	MINA
220	Blood	MRPL36
221	Blood	MS4A6A
222	Blood	MYB
223	Blood	MYBL2
224	Blood	MYO1E
225	Blood	MZB1
226	Blood	N4BP2
227	Blood	N4BP2L1
228	Blood	NAPSA
229	Blood	NCF1
232	Blood	NEK8
233	Blood	NFATC2IP
234	Blood	NFX1
235	Blood	NGLY1
236	Blood	NICN1
237	Blood	NOP56
238	Blood	NOTCH4
239	Blood	NPC1
240	Blood	NPC2
241	Blood	NRP1
242	Blood	NRP1
243	Blood	NUCB2
244	Blood	OCLN
245	Blood	OFD1
246	Blood	OGT
247	Blood	OVOS2
248	Blood	P2RY14
249	Blood	P2RY6
250	Blood	P4HB
251	Blood	PACSIN1
252	Blood	PAFAH2
253	Blood	PAIP1
254	Blood	PAPLN
255	Blood	PARK7
256	Blood	PARP10
257	Blood	PCMTD1
258	Blood	PCNX
259	Blood	PCYOX1
260	Blood	PDCD4
261	Blood	PDIA4
262	Blood	PFKFB2
263	Blood	PFKP
264	Blood	PHC3
265	Blood	PHEX
266	Blood	PHLPP2
267	Blood	PIK3CD
268	Blood	PLA2G16
269	Blood	PLAC8
270	Blood	PLD4
271	Blood	PLP2
272	Blood	PLXNA4
275	Blood	POLB
276	Blood	PPARA
277	Blood	PPFIBP1
278	Blood	PPM1J
279	Blood	PPM1K
280	Blood	PPP1R14B
281	Blood	PPP6R1
282	Blood	PTCRA
283	Blood	PTK7
284	Blood	PTPRCAP
285	Blood	PTPRS
286	Blood	QDPR
287	Blood	RABGAP1L
288	Blood	RASD1
289	Blood	RCL1
290	Blood	RNASE6
291	Blood	RNASEH2B
292	Blood	RNASET2
293	Blood	RNF5
294	Blood	RRBP1
295	Blood	RREB1
296	Blood	RUNX2
297	Blood	S100PBP
298	Blood	SBDS
299	Blood	SCAMP5
300	Blood	SCARB2
301	Blood	SCN9A
302	Blood	SEC11C
303	Blood	SEC61A1
304	Blood	SEC61B
305	Blood	SEC61G
306	Blood	SEL1L3
307	Blood	SELL
311	Blood	SERPINF1
312	Blood	SERTAD2
313	Blood	SETBP1
314	Blood	SFT2D2
315	Blood	SGSM3
316	Blood	SIDT1
318	Blood	SIT1
319	Blood	SIVA1
320	Blood	SLA2
321	Blood	SLC12A2
322	Blood	SLC12A3
323	Blood	SLC15A4
324	Blood	SLC20A1
325	Blood	SLC23A2
326	Blood	SLC2A1
327	Blood	SLC33A1
328	Blood	SLC35E2
329	Blood	SLC38A1
330	Blood	SLC38A2
331	Blood	SLC3A2
332	Blood	SLC7A11
333	Blood	SLC7A5
334	Blood	SMC6
335	Blood	SMPD3
336	Blood	SND1
